Year,Observations,SSP5-8.5,SSP3-7.0,IEA STEPS (2020) ,Notes
1850,1.497035182,,,,Unit is Primary Energy - Coal - Gigajoules Per Global Person
1875,5.146440609,,,,Converted IEA Mtoe to GJ and divided by pop
1900,11.88124647,,,,
1910,13.26441415,,,,
1920,14.87549992,,,,
1925,16.87931666,,,,
1930,16.4798432,,,,
1940,16.09959619,,,,
1950,16.6538717,,,,
1960,19.46894219,,,,
1970,17.86448047,,,,
1975,16.97522541,,,,
1980,17.26614153,,,,
1985,18.07860232,,,,
1990,17.85928991,,,,
1995,16.24584414,,,,
2000,16.14554859,,,,
2001,16.20082041,,,,
2002,16.61664746,,,,
2003,17.85450539,,,,
2004,18.85336017,,,,
2005,19.98382771,20.01135318,20.0545514,,
2006,20.77180275,,,,
2007,21.66761286,,,,
2008,21.7079522,,,,
2009,21.12266957,,,,
2010,21.83452406,21.92853883,21.97447038,,
2011,22.6057843,,,,
2012,22.42925501,,,,
2013,22.56596445,,,,
2014,22.28644662,,,,
2015,21.48314951,,,,
2016,20.9435066,,,,
2017,21.15131613,,,,
2018,,,,,
2019,,,,20.60110792,
2020,,19.77510424,25.36798324,,
2025,,,,,
2030,,22.4466408,29.20284049,,
2035,,,,,
2040,,30.50416055,31.78573914,15.15736858,
2050,,45.33321932,34.40933174,,
2060,,67.97532899,36.62938137,,
2070,,91.53035449,39.38815945,,
2080,,111.2025828,42.07440526,,
2090,,123.1047321,44.959646,,
2100,,132.4038548,48.03352401,,