Entity,Code,Year,Wind (TWh; substituted energy),Oil (TWh; substituted energy),Nuclear (TWh; substituted energy),Hydropower (TWh; substituted energy),Traditional bimass (TWh; substituted energy),Other renewables (TWh; substituted energy),Biofuels (TWh; substituted energy),Solar (TWh; substituted energy),Coal (TWh; substituted energy),Gas (TWh; substituted energy)
World,OWID_WRL,1800,0,0,0,0,5556,0,0,0,97,0
World,OWID_WRL,1810,0,0,0,0,5833,0,0,0,128,0
World,OWID_WRL,1820,0,0,0,0,6111,0,0,0,153,0
World,OWID_WRL,1830,0,0,0,0,6389,0,0,0,264,0
World,OWID_WRL,1840,0,0,0,0,6944,0,0,0,356,0
World,OWID_WRL,1850,0,0,0,0,7222,0,0,0,569,0
World,OWID_WRL,1860,0,0,0,0,6944,0,0,0,1061,0
World,OWID_WRL,1870,0,6,0,0,6944,0,0,0,1642,0
World,OWID_WRL,1880,0,33,0,0,6944,0,0,0,2542,0
World,OWID_WRL,1890,0,89,0,37,6667,0,0,0,3856,33
World,OWID_WRL,1900,0,181,0,44,6111,0,0,0,5728,64
World,OWID_WRL,1910,0,397,0,88,6389,0,0,0,8656,142
World,OWID_WRL,1920,0,889,0,168,6944,0,0,0,9833,233
World,OWID_WRL,1930,0,1756,0,344,7222,0,0,0,10125,603
World,OWID_WRL,1940,0,2653,0,504,7222,0,0,0,11586,875
World,OWID_WRL,1950,0,5444,0,877,7500,0,0,0,12603,2092
World,OWID_WRL,1960,0,11097,0,1813,8889,0,0,0,15442,4472
World,OWID_WRL,1965,0,18109,71,2564,9162,50,0,0,16140,6303
World,OWID_WRL,1966,0,19496,96,2733,9218,55,0,0,16324,6869
World,OWID_WRL,1967,0,20891,114,2794,9274,56,0,0,16061,7375
World,OWID_WRL,1968,0,22675,145,2942,9331,61,0,0,16301,8044
World,OWID_WRL,1969,0,24577,172,3116,9387,65,0,0,16799,8833
World,OWID_WRL,1970,0,26708,219,3263,9444,71,0,0,17059,9614
World,OWID_WRL,1971,0,28205,305,3409,9499,77,0,0,16966,10292
World,OWID_WRL,1972,0,30378,423,3568,9553,83,0,0,17154,10861
World,OWID_WRL,1973,0,32746,566,3619,9608,89,0,0,17668,11378
World,OWID_WRL,1974,0,32272,741,3976,9663,94,0,0,17682,11656
World,OWID_WRL,1975,0,31948,1027,4025,9718,96,0,0,18025,11661
World,OWID_WRL,1976,0,34030,1202,4009,9774,107,0,0,18688,12356
World,OWID_WRL,1977,0,35215,1496,4144,9830,113,0,0,19241,12761
World,OWID_WRL,1978,0,36426,1738,4484,9886,119,0,0,19458,13294
World,OWID_WRL,1979,0,37024,1808,4709,9943,128,0,0,20364,14119
World,OWID_WRL,1980,0,35577,1978,4810,10000,137,0,0,20858,14239
World,OWID_WRL,1981,0,34296,2335,4914,10106,148,0,0,21150,14394
World,OWID_WRL,1982,0,33198,2534,5003,10213,170,0,0,21384,14469
World,OWID_WRL,1983,0,32969,2872,5216,10321,189,0,0,22045,14703
World,OWID_WRL,1984,0,33739,3485,5393,10430,211,0,0,23000,15903
World,OWID_WRL,1985,0,33789,4136,5499,10541,216,0,0,23986,16261
World,OWID_WRL,1986,0,34803,4430,5574,10653,238,0,0,24256,16419
World,OWID_WRL,1987,1,35499,4819,5649,10765,255,0,0,25210,17281
World,OWID_WRL,1988,1,36703,5253,5830,10879,262,0,0,25965,18089
World,OWID_WRL,1989,7,37300,5403,5799,10995,290,0,1,26213,18869
World,OWID_WRL,1990,10,37691,5557,5997,11111,325,91,1,25895,19483
World,OWID_WRL,1991,11,37691,5823,6137,11243,339,102,1,25643,19975
World,OWID_WRL,1992,13,38344,5867,6136,11376,364,98,1,25550,20067
World,OWID_WRL,1993,16,38099,6069,6503,11511,376,100,2,25675,20269
World,OWID_WRL,1994,20,38935,6183,6547,11647,390,111,2,25774,20394
World,OWID_WRL,1995,23,39445,6451,6905,11785,407,115,2,25954,21108
World,OWID_WRL,1996,26,40380,6686,7001,11925,418,115,2,26572,22164
World,OWID_WRL,1997,33,41413,6640,7128,12066,448,132,2,26527,22033
World,OWID_WRL,1998,44,41624,6754,7186,12209,469,126,2,26360,22439
World,OWID_WRL,1999,59,42371,7012,7238,12414,493,122,3,26522,23075
World,OWID_WRL,2000,87,42897,7169,7367,12500,517,116,3,27417,24000
World,OWID_WRL,2001,106,43278,7324,7131,12500,530,127,4,27853,24331
World,OWID_WRL,2002,143,43639,7393,7216,12470,566,149,5,28945,25053
World,OWID_WRL,2003,171,44610,7197,7159,12329,594,185,6,31497,25753
World,OWID_WRL,2004,230,46256,7476,7636,12160,637,209,8,33664,26736
World,OWID_WRL,2005,280,46824,7448,7845,12076,685,246,11,36171,27464
World,OWID_WRL,2006,355,47367,7493,8093,11993,726,313,15,38071,28175
World,OWID_WRL,2007,454,47958,7295,8179,11911,783,424,21,40224,29325
World,OWID_WRL,2008,582,47566,7227,8599,11829,833,574,33,40770,30025
World,OWID_WRL,2009,724,46654,7081,8533,11747,891,636,55,40149,29411
World,OWID_WRL,2010,903,48087,7219,8958,11667,990,734,88,41997,31606
World,OWID_WRL,2011,1142,48550,6874,9073,11553,1033,775,169,44018,32372
World,OWID_WRL,2012,1367,49157,6364,9401,11441,1110,789,260,44185,33219
World,OWID_WRL,2013,1628,49689,6384,9765,11330,1188,857,356,44993,33767
World,OWID_WRL,2014,1798,50014,6467,9910,11220,1275,933,504,44954,33994
World,OWID_WRL,2015,2104,50892,6516,9827,11111,1362,937,650,43844,34781
World,OWID_WRL,2016,2424,51920,6576,10092,11111,1378,970,825,43196,35589
World,OWID_WRL,2017,2852,52568,6596,10165,11111,1457,1012,1117,43360,36586
World,OWID_WRL,2018,3157,53181,6711,10368,11111,1529,1109,1448,44109,38517
World,OWID_WRL,2019,3540,53620,6923,10455,11111,1614,1143,1793,43849,39292